name,latitude,longitude,common_name,scientific_name,indivuals,source,state
rajabandi,16.57885,80.70183164,,Colotis,1,inat,Andhra Pradesh
rajabandi,16.57863664,80.70227664,Joker,Byblia ilithyia,1,inat,Andhra Pradesh
rajabandi,16.580245,80.70031667,Bushbrowns,Mycalesis,1,inat,Andhra Pradesh
rajabandi,16.578485,80.70258497,Common Rose Swallowtail,Pachliopta aristolochiae,1,inat,Andhra Pradesh
rajabandi,16.57847831,80.70264831,Grass Skippers,Hesperiinae,1,inat,Andhra Pradesh
rajabandi,16.57847997,80.70268833,Tiny Grass Blue,Zizula hylax,1,inat,Andhra Pradesh
rajabandi,16.57843997,80.70279833,Plain Tiger Butterfly,Danaus chrysippus,1,inat,Andhra Pradesh
rajabandi,16.57843164,80.7028,Typical Blues,Polyommatini,1,inat,Andhra Pradesh
rajabandi,16.57848997,80.70325,Joker,Byblia ilithyia,1,inat,Andhra Pradesh
rajabandi,16.57849831,80.703265,Angled Castor,Ariadne ariadne,1,inat,Andhra Pradesh
rajabandi,16.57840164,80.703855,Plain Tiger Butterfly,Danaus chrysippus,1,inat,Andhra Pradesh
rajabandi,16.578375,80.70386664,Common Evening Brown,Melanitis leda,1,inat,Andhra Pradesh
rajabandi,16.578375,80.70396833,Great Eggfly,Hypolimnas bolina,1,inat,Andhra Pradesh
rajabandi,16.57836831,80.70404833,Joker,Byblia ilithyia,1,inat,Andhra Pradesh
rajabandi,16.57837997,80.70397333,Zebra Blue,Leptotes plinius,1,inat,Andhra Pradesh
rajabandi,16.57845831,80.70325831,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.57848667,80.70309497,Plain Tiger Butterfly,Danaus chrysippus,1,inat,Andhra Pradesh
rajabandi,16.57879664,80.70189164,Common Evening Brown,Melanitis leda,1,inat,Andhra Pradesh
rajabandi,16.57887333,80.70175833,Common Gull,Cepora nerissa,1,inat,Andhra Pradesh
rajabandi,16.57965831,80.700785,Bushbrowns,Mycalesis,1,inat,Andhra Pradesh
rajabandi,16.57964831,80.70080331,Evening Browns,Melanitis,1,inat,Andhra Pradesh
rajabandi,16.58005,80.70038,Striped Tiger,Danaus genutia,1,inat,Andhra Pradesh
rajabandi,16.580025,80.70039667,Striped Tiger,Danaus genutia,1,inat,Andhra Pradesh
rajabandi,16.562175,80.61550331,Swifts and Allies,Baorini,1,inat,Andhra Pradesh
rajabandi,16.56222831,80.61542331,Common Grass Yellow,Eurema hecabe,1,inat,Andhra Pradesh
rajabandi,16.56227667,80.61534164,Joker,Byblia ilithyia,1,inat,Andhra Pradesh
rajabandi,16.56241167,80.61513497,Joker,Byblia ilithyia,1,inat,Andhra Pradesh
rajabandi,16.56258831,80.61481331,Mottled Emigrant,Catopsilia pyranthe,1,inat,Andhra Pradesh
rajabandi,16.56264167,80.61470833,Common Grass Yellow,Eurema hecabe,1,inat,Andhra Pradesh
rajabandi,16.56268497,80.61463164,Emigrants,Catopsilia,1,inat,Andhra Pradesh
rajabandi,16.56295331,80.61413664,Plain Tiger Butterfly,Danaus chrysippus,1,inat,Andhra Pradesh
rajabandi,16.56296833,80.61410664,Mottled Emigrant,Catopsilia pyranthe,1,inat,Andhra Pradesh
rajabandi,16.56309,80.613875,Common Grass Yellow,Eurema hecabe,1,inat,Andhra Pradesh
rajabandi,16.56304164,80.61398667,Angled Castor,Ariadne ariadne,1,inat,Andhra Pradesh
rajabandi,16.562105,80.615625,Plain Orange-tip,Colotis aurora,1,inat,Andhra Pradesh
rajabandi,16.56211667,80.61739161,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.562145,80.61759167,Striped Tiger,Danaus genutia,1,inat,Andhra Pradesh
rajabandi,16.62365831,80.618425,Peacock Pansy,Junonia almana,1,inat,Andhra Pradesh
rajabandi,16.62365831,80.618425,Tawny Coster,Acraea terpsicore,1,inat,Andhra Pradesh
rajabandi,16.62365831,80.618425,Lesser Grass Blue,Zizina otis,1,inat,Andhra Pradesh
rajabandi,16.62365831,80.618425,Mottled Emigrant,Catopsilia pyranthe,1,inat,Andhra Pradesh
rajabandi,16.62365831,80.618425,Grass Yellows,Eurema,1,inat,Andhra Pradesh
rajabandi,16.62365831,80.618425,Lemon Emigrant,Catopsilia pomona,1,inat,Andhra Pradesh
rajabandi,16.62365831,80.618425,Plain Tiger Butterfly,Danaus chrysippus,1,inat,Andhra Pradesh
rajabandi,16.62365831,80.618425,Peacock Pansy,Junonia almana,1,inat,Andhra Pradesh
rajabandi,16.62365831,80.618425,Gram Blue,Euchrysops cnejus,1,inat,Andhra Pradesh
krishnaaditya,18.0990386,83.4163191,Emigrants,Catopsilia,1,inat,Andhra Pradesh
anirudhsrivastha,13.56064722,78.49506111,Great Eggfly,Hypolimnas bolina,1,inat,Andhra Pradesh
rajabandi,16.44253497,80.68888667,Lemon Emigrant,Catopsilia pomona,1,inat,Andhra Pradesh
rajabandi,16.44253497,80.68888667,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.44258,80.688825,Lemon Emigrant,Catopsilia pomona,1,inat,Andhra Pradesh
rajabandi,16.44266,80.68876333,Blue Pierrots,Tarucus,1,inat,Andhra Pradesh
rajabandi,16.443115,80.68844997,Jewelled Grass-blue,Freyeria putli,1,inat,Andhra Pradesh
rajabandi,16.44309,80.68849,Dark Grass Blue,Zizeeria karsandra,1,inat,Andhra Pradesh
rajabandi,16.44310331,80.68850167,Striped Pierrot,Tarucus nara,1,inat,Andhra Pradesh
rajabandi,16.44310497,80.68846831,Jewelled Grass-blue,Freyeria putli,1,inat,Andhra Pradesh
rajabandi,16.44307497,80.68831831,Common Grass Yellow,Eurema hecabe,1,inat,Andhra Pradesh
rajabandi,16.44316833,80.68822331,Swifts and Allies,Baorini,1,inat,Andhra Pradesh
rajabandi,16.44356831,80.688025,Common Grass Yellow,Eurema hecabe,1,inat,Andhra Pradesh
rajabandi,16.44417497,80.68798664,Plain Tiger Butterfly,Danaus chrysippus,1,inat,Andhra Pradesh
rajabandi,16.44327997,80.68814831,Striped Tiger,Danaus genutia,1,inat,Andhra Pradesh
rajabandi,16.44314164,80.68825167,Lemon Emigrant,Catopsilia pomona,1,inat,Andhra Pradesh
rajabandi,16.44253167,80.68890833,Striped Pierrot,Tarucus nara,1,inat,Andhra Pradesh
rajabandi,16.44232664,80.68920664,Peacock Pansy,Junonia almana,1,inat,Andhra Pradesh
rajabandi,16.42532167,80.69607497,Black Rajah,Charaxes solon,1,inat,Andhra Pradesh
rajabandi,16.42535497,80.69610664,Peacock Pansy,Junonia almana,1,inat,Andhra Pradesh
rajabandi,16.42538497,80.69613,Angled Castor,Ariadne ariadne,1,inat,Andhra Pradesh
rajabandi,16.42538664,80.696135,Common Pierrot,Castalius rosimon,1,inat,Andhra Pradesh
rajabandi,16.42538833,80.69613333,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.42538331,80.69610664,Black Rajah,Charaxes solon,1,inat,Andhra Pradesh
rajabandi,16.42551667,80.69632333,Black Rajah,Charaxes solon,1,inat,Andhra Pradesh
rajabandi,16.42537167,80.69615167,Plain Tiger Butterfly,Danaus chrysippus,1,inat,Andhra Pradesh
rajabandi,16.42538331,80.69625833,Mottled Emigrant,Catopsilia pyranthe,1,inat,Andhra Pradesh
rajabandi,16.44146778,80.69042478,Common Rose Swallowtail,Pachliopta aristolochiae,1,inat,Andhra Pradesh
rajabandi,16.42873589,80.69908989,Great Eggfly,Hypolimnas bolina,1,inat,Andhra Pradesh
bird_biochemist,13.77265,79.43171497,Tawny Coster,Acraea terpsicore,1,inat,Andhra Pradesh
rajabandi,16.56144333,80.69445997,Joker,Byblia ilithyia,1,inat,Andhra Pradesh
rajabandi,16.56141,80.69447,Mottled Emigrant,Catopsilia pyranthe,1,inat,Andhra Pradesh
rajabandi,16.56146664,80.69448,Plain Tiger Butterfly,Danaus chrysippus,1,inat,Andhra Pradesh
rajabandi,16.56146831,80.69447831,Small Grass Blues,Zizula,1,inat,Andhra Pradesh
rajabandi,16.56145664,80.69447831,Peacock Pansy,Junonia almana,1,inat,Andhra Pradesh
rajabandi,16.56797,80.69727831,Blue Tiger,Tirumala limniace,1,inat,Andhra Pradesh
rajabandi,16.561225,80.69441331,Peacock Pansy,Junonia almana,1,inat,Andhra Pradesh
rajabandi,16.56078164,80.69429167,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.59380333,80.74463831,Plain Tiger Butterfly,Danaus chrysippus,1,inat,Andhra Pradesh
rajabandi,16.59378333,80.74477664,Lime Swallowtail,Papilio demoleus,1,inat,Andhra Pradesh
rajabandi,16.594995,80.75164667,Common Castor Butterfly,Ariadne merione,1,inat,Andhra Pradesh
rajabandi,16.5964,80.75192664,Tiny Grass Blue,Zizula hylax,1,inat,Andhra Pradesh
rajabandi,16.596205,80.75185833,Common Pierrot,Castalius rosimon,1,inat,Andhra Pradesh
rajabandi,16.59601164,80.75181,Tawny Coster,Acraea terpsicore,1,inat,Andhra Pradesh
rajabandi,16.59600667,80.75180164,Striped Pierrot,Tarucus nara,1,inat,Andhra Pradesh
rajabandi,16.59503664,80.75163333,Angled Castor,Ariadne ariadne,1,inat,Andhra Pradesh
rajabandi,16.59170833,80.75180833,Great Eggfly,Hypolimnas bolina,1,inat,Andhra Pradesh
rajabandi,16.56276,80.74333,Common Rose Swallowtail,Pachliopta aristolochiae,1,inat,Andhra Pradesh
rajabandi,16.56287664,80.743235,Tawny Coster,Acraea terpsicore,1,inat,Andhra Pradesh
bird_biochemist,13.77257497,79.42945797,Plain Orange-tip,Colotis aurora,1,inat,Andhra Pradesh
bird_biochemist,13.77277497,79.42757797,Yellow Orange Tip,Ixias pyrene,1,inat,Andhra Pradesh
rajabandi,16.52,80.676,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajeshdasi,16.52432017,80.61695661,Common Castor Butterfly,Ariadne merione,1,inat,Andhra Pradesh
arunkumar_thyadi,18.02758333,82.89082167,Fluffy Tit,Zeltus amasa,1,inat,Andhra Pradesh
championmahesh,13.55117479,78.56972337,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
anirudhsrivastha,13.56041667,78.49501667,Chocolate Pansy,Junonia iphita,1,inat,Andhra Pradesh
